7655500,57083,2,2020-01-12,7,2020-01-13,2020-01-19,25112.0
7655501,57086,3,2020-01-20,2,2020-01-24,2020-01-27,22453.0
7655502,57086,4,2020-02-06,7,2020-02-11,2020-02-21,13293.0
7655503,57088,4,2020-02-09,1,2020-02-13,2020-02-26,16063.0
7655505,57094,4,2020-02-15,1,2020-02-24,2020-02-27,13581.0
7655506,57092,4,2020-02-20,8,2020-02-23,2020-02-27,74120.0
7655507,57095,6,2020-02-23,8,2020-03-04,2020-03-11,12092.0
7655508,57105,4,2020-02-26,5,2020-02-28,2020-03-08,48258.0
7655509,57095,5,2020-02-26,7,2020-02-27,2020-03-08,7509.0
7655510,57103,3,2020-03-02,7,2020-03-07,2020-03-14,11803.1
7655511,57100,3,2020-03-05,3,2020-03-07,2020-03-17,3851.35
7655512,57107,4,2020-03-05,8,2020-03-14,2020-03-27,20135.0
7655513,57101,3,2020-03-06,4,2020-03-12,2020-03-26,4837.35
7655514,57096,5,2020-03-07,7,2020-03-14,2020-03-22,10991.0
7655515,57110,4,2020-03-12,5,2020-03-20,2020-03-28,39769.0
7655516,57101,3,2020-03-13,2,2020-03-14,2020-03-19,33272.4
7655517,57095,6,2020-03-13,3,2020-03-19,2020-03-30,26176.0
7655518,57099,6,2020-03-15,6,2020-03-22,2020-04-05,20100.0
7655519,57121,4,2020-03-15,1,2020-03-21,2020-03-26,2555.0
7655520,57083,5,2020-03-18,1,2020-03-19,2020-04-06,14685.0
7655521,57094,4,2020-03-18,8,2020-03-19,2020-03-24,23460.0
7655522,57083,3,2020-03-20,8,2020-03-24,2020-04-03,23414.1
7655523,57109,4,2020-03-20,2,2020-03-23,2020-04-04,6417.0
7655524,57120,6,2020-03-21,7,2020-03-30,2020-04-15,15089.0
7655525,57105,4,2020-03-27,5,2020-04-01,2020-04-07,12892.0
7655526,57087,4,2020-03-27,5,2020-03-31,2020-04-20,13788.0
7655527,57084,5,2020-03-30,5,2020-04-07,2020-04-18,21730.0
7655528,57127,4,2020-03-31,6,2020-04-01,2020-04-09,14006.0
7655529,57132,4,2020-04-01,8,2020-04-08,2020-04-13,24438.0
7655530,57091,5,2020-04-02,1,2020-04-12,2020-04-15,12918.0
